id,unicode,X,Y,population,traveller,visitor
394,13075,1191046.2194053722,-630318.09885907697,15855,2661,1786
395,13077,1036463.8615811198,-402686.4912375437,90117,22749,9638
396,13079,1116742.8257494115,-464669.09725248325,12408,4391,431
397,13081,1148243.2094094767,-549588.40483950078,22018,1782,2353
398,13083,949884.38052406849,-243759.81965489974,15199,4620,1254
399,13085,1075748.5253517376,-275156.33549270435,16238,5284,2491
400,13087,1086427.9839871409,-674495.50401018851,28223,2449,2984
401,13089,1079971.6295858158,-350357.73123712948,668271,190783,164485
402,13091,1200470.1177366036,-514657.61775396019,19168,2546,1419
403,13093,1142032.6588753732,-524078.42937652377,11519,1759,1545
404,13095,1111745.73970872,-597963.86868781294,95859,3658,20740
405,13097,1031463.2959907434,-364135.98998711235,92774,29252,15491
406,13099,1049936.9410829684,-629044.43941864569,12303,1439,1633
407,13101,1248362.754978609,-672330.62768688379,3782,1412,97
408,13103,1366788.2626405107,-468435.77683916502,37755,11483,2173
409,13105,1201013.6805594605,-295452.00190983765,20464,2338,1524
410,13107,1274311.6763992265,-457267.40776763693,21851,2327,1662
411,13109,1319775.0615810517,-499356.98119491356,10531,1393,1461
412,13111,1056484.7100159477,-230182.80310748867,19954,3258,1543
413,13113,1060360.3019730425,-393016.14256310242,92073,28217,18059
414,13115,983523.3150565112,-306523.62022081128,90837,7179,9090
415,13117,1082860.1082072365,-298862.34598663147,100400,30170,21470
416,13119,1161850.9247261258,-271654.77675220754,20314,4078,4239
417,13121,1057704.6872203427,-351016.05707966792,816190,119111,451811
418,13123,1046593.9478840962,-250852.66004565402,23634,3884,1708
419,13125,1235750.2892422744,-390702.80737532937,2574,792,167
420,13127,1367638.0045948895,-596409.81763104373,67696,1991,7727
421,13129,1011127.5894139053,-276287.96754446323,44401,6820,6216
422,13131,1119104.0062500392,-670893.41318736062,23624,4329,1178
423,13133,1179499.605460481,-359109.50765934959,14389,1743,1727
424,13135,1095798.4496908379,-326955.27439109213,595584,140648,115082
