id,unicode,X,Y,population,travellers,visitors
285,1285,9908,4443,1567,682,885
286,1286,9906,4444,3501,2504,997
287,1287,9899,4444,49,9,40
288,1288,9930,4445,5692,3026,2666
289,1289,9924,4444,1979,971,1008
290,1290,9926,4447,4434,2289,2145
291,1291,9919,4447,5896,3028,2868
292,1292,9920,4452,5705,2737,2968
293,1293,9930,4443,5900,3163,2737
294,1294,9920,4446,7159,4043,3116
295,1295,9916,4446,8024,4312,3712
296,1296,9937,4436,9,0,9
297,1297,9914,4445,3320,1719,1601
298,1298,9915,4446,4201,2146,2055
299,1299,9920,4447,5321,2608,2713
300,1300,9911,4447,347,104,243
301,1301,9920,4448,3627,1675,1952
302,1302,9925,4441,2871,1517,1354
303,1303,9921,4441,8296,4476,3820
304,1304,9924,4435,2287,1089,1198
305,1305,9917,4456,4492,2349,2143
306,1306,9925,4444,3314,1741,1573
307,1307,9927,4444,5207,2647,2560
308,1308,9925,4455,544,233,311
309,1309,9925,4456,358,130,228
310,1310,9926,4453,1874,1013,861
311,1311,9930,4454,1821,1024,797
312,1312,9922,4456,901,380,521
313,1313,9917,4451,6165,3404,2761
314,1314,9921,4451,4422,2494,1928
315,1315,9924,4442,1108,468,640
316,1316,9923,4453,551,196,355
317,1317,9922,4452,3337,1693,1644
318,1318,9931,4447,2317,1068,1249
319,1319,9925,4443,6310,3256,3054
320,1320,9922,4440,6159,3434,2725
321,1321,9929,4440,3822,1885,1937
322,1322,9917,4435,1582,647,935
323,1323,9919,4432,1119,486,633
324,1324,9913,4461,937,446,491
325,1325,9913,4460,224,113,111
326,1326,9914,4463,129,64,65
327,1327,9914,4460,124,37,87
328,1328,9915,4458,669,281,388
329,1329,9916,4457,2631,1413,1218
330,1330,9913,4462,150,46,104
331,1331,9914,4452,1914,966,948
332,1332,9913,4458,484,199,285
333,1333,9911,4460,250,149,101
334,1334,9911,4463,40,16,24
335,1335,9917,4457,1441,770,671
336,1336,9917,4458,1474,742,732
337,1337,9909,4460,75,37,38
338,1338,9914,4447,6949,3723,3226
339,1339,9926,4443,4863,2511,2352
340,1340,9918,4458,1299,669,630
341,1341,9919,4457,1235,572,663
342,1342,9919,4456,2226,1143,1083
343,1343,9915,4456,806,363,443
344,1344,9916,4455,1085,488,597
345,1345,9919,4455,248,100,148
346,1346,9924,4448,4323,1996,2327
347,1347,9925,4457,893,389,504
348,1348,9920,4459,767,356,411
349,1349,9917,4455,2694,1468,1226
350,1350,9918,4454,623,248,375
351,1351,9912,4444,3352,1593,1759
352,1352,9931,4441,3110,1538,1572
353,1353,9928,4444,11984,6305,5679
354,1354,9926,4461,676,388,288
355,1355,9938,4475,4,1,3
356,1356,9926,4463,77,30,47
357,1357,9933,4442,2595,1122,1473
358,1358,9938,4460,421,256,165
359,1359,9932,4448,2883,1380,1503
360,1360,9927,4452,1995,850,1145
361,1361,9931,4453,2437,1337,1100
362,1362,9932,4453,950,533,417
363,1363,9930,4450,3424,1829,1595
364,1364,9927,4445,8332,4401,3931
365,1365,9926,4450,6280,3165,3115
366,1366,9933,4447,599,270,329
367,1367,9921,4452,3775,1853,1922
368,1368,9917,4453,966,554,412
369,1369,9919,4446,2105,985,1120
370,1370,9908,4452,602,117,485
371,1371,9909,4435,52,28,24
372,1372,9914,4444,4007,2043,1964
373,1373,9905,4444,1564,830,734
374,1374,9900,4448,183,86,97
375,1375,9931,4440,3650,1901,1749
376,1376,9931,4439,2329,1140,1189
377,1377,9921,4459,605,292,313
378,1378,9913,4453,519,251,268
379,1379,9910,4440,2393,1174,1219
380,1380,9913,4436,1815,1003,812
381,1381,9917,4436,4068,1977,2091
382,1382,9913,4434,264,68,196
383,1383,9913,4437,2918,1629,1289
384,1384,9914,4438,5548,3530,2018
385,1385,9915,4439,1034,464,570
386,1386,9917,4441,6649,3252,3397
387,1387,9913,4439,3400,1767,1633
388,1388,9915,4453,834,334,500
389,1389,9918,4424,146,62,84
390,1390,9927,4438,1523,649,874
391,1391,9929,4437,1606,856,750
392,1392,9912,4438,1036,518,518
393,1393,9924,4452,2256,1017,1239
394,1394,9922,4454,1571,757,814
395,1395,9929,4448,7498,3877,3621
