id,unicode,X,Y,population,travellers,visitors
383,1386,12671,2336,465,233,232
384,1387,12675,2330,250,82,168
385,1388,12677,2319,1196,260,936
386,1389,12695,2326,1542,537,1005
387,1390,12668,2335,137,38,99
388,1391,12669,2335,65,17,48
389,1392,12676,2331,84,37,47
390,1393,12672,2326,571,149,422
391,1394,12672,2333,159,59,100
392,1395,12672,2323,870,250,620
393,1396,12682,2332,1427,817,610
394,1397,12682,2333,274,116,158
395,1398,12671,2334,504,236,268
396,1399,12684,2321,4747,2344,2403
397,1400,12687,2323,515,171,344
398,1401,12685,2322,1749,760,989
399,1402,12681,2325,111,45,66
400,1403,12668,2340,37,8,29
401,1404,12669,2338,144,77,67
402,1405,12681,2324,125,38,87
403,1406,12694,2324,4489,1571,2918
404,1407,12678,2324,424,83,341
405,1408,12680,2330,230,72,158
406,1409,12716,2335,4179,2144,2035
407,1410,12715,2332,788,375,413
408,1411,12713,2330,629,347,282
409,1412,12694,2334,865,476,389
410,1413,12693,2330,14130,7721,6409
411,1414,12681,2328,469,167,302
412,1415,12669,2330,504,255,249
413,1416,12681,2330,334,179,155
414,1417,12668,2333,308,121,187
415,1418,12678,2330,124,13,111
416,1419,12722,2337,3204,1735,1469
417,1420,12721,2337,2761,1558,1203
418,1421,12698,2330,592,267,325
419,1422,12695,2331,2689,1240,1449
420,1423,12697,2326,2457,769,1688
421,1424,12706,2327,492,75,417
422,1425,12704,2332,466,185,281
423,1426,12699,2334,490,223,267
424,1427,12693,2326,5601,2406,3195
425,1428,12694,2329,8707,4801,3906
426,1429,12695,2329,3656,1685,1971
427,1430,12693,2327,6461,2812,3649
428,1431,12701,2326,1684,518,1166
429,1432,12704,2327,1087,430,657
430,1433,12691,2327,987,249,738
431,1434,12696,2330,3717,1675,2042
432,1435,12701,2328,120,33,87
433,1436,12702,2331,89,22,67
434,1437,12702,2333,122,38,84
435,1438,12700,2327,363,165,198
436,1439,12715,2336,2016,1028,988
437,1440,12716,2336,9004,5372,3632
438,1441,12701,2323,1566,462,1104
439,1442,12679,2316,942,190,752
440,1443,12690,2318,2483,807,1676
441,1444,12713,2333,304,116,188
442,1445,12698,2321,1827,512,1315
443,1446,12696,2324,1441,443,998
444,1447,12695,2325,805,239,566
445,1448,12701,2322,4621,1664,2957
446,1449,12705,2318,8847,3446,5401
447,1450,12682,2324,101,24,77
448,1451,12688,2319,2801,1145,1656
449,1452,12698,2320,2159,1349,810
450,1453,12685,2323,1265,559,706
451,1454,12680,2331,223,61,162
452,1455,12682,2328,299,84,215
453,1456,12685,2324,561,209,352
454,1457,12698,2328,727,378,349
455,1458,12685,2318,4472,2429,2043
456,1459,12694,2337,503,267,236
457,1460,12695,2338,86,47,39
458,1461,12697,2337,627,306,321
459,1462,12697,2336,1658,728,930
460,1463,12696,2336,1372,682,690
461,1464,12694,2336,1319,694,625
462,1465,12694,2333,995,561,434
463,1466,12692,2316,6131,2963,3168
464,1467,12665,2336,32,5,27
465,1468,12692,2326,585,84,501
466,1469,12706,2318,4377,1418,2959
467,1470,12686,2319,3272,1421,1851
