id,unicode,X,Y,population,travellers,visitors
399,1399,81,89,230,117,113
400,1400,64,84,79,40,39
401,1401,73,77,95,47,48
402,1402,73,79,74,37,37
403,1403,51,82,58,29,29
404,1404,49,82,133,68,65
405,1405,82,90,71,35,36
406,1406,86,62,111,55,56
407,1407,131,35,2,1,1
408,1408,66,95,108,54,54
409,1409,59,83,265,134,131
410,1410,67,49,75,37,38
411,1411,69,52,157,78,79
412,1412,65,115,107,53,54
413,1413,68,113,175,89,86
414,1414,71,107,217,109,108
415,1415,69,89,112,56,56
416,1416,68,84,127,62,65
417,1417,45,82,121,60,61
418,1418,54,82,115,57,58
419,1419,43,65,59,29,30
420,1420,79,103,282,141,141
421,1421,69,50,131,69,62
422,1422,80,94,73,36,37
423,1423,82,93,240,120,120
424,1424,83,77,80,40,40
425,1425,84,78,86,43,43
426,1426,78,79,109,55,54
427,1427,78,72,37,19,18
428,1428,83,89,210,105,105
429,1429,78,78,64,32,32
430,1430,53,86,37,19,18
431,1431,78,53,87,43,44
432,1432,72,54,95,48,47
433,1433,68,99,203,100,103
434,1434,66,103,131,65,66
435,1435,30,115,91,45,46
436,1436,87,47,127,64,63
437,1437,83,46,119,61,58
438,1438,61,73,37,18,19
439,1439,59,138,16,8,8
440,1440,41,144,61,30,31
441,1441,39,144,46,21,25
442,1442,45,55,95,49,46
443,1443,43,90,54,27,27
444,1444,40,92,43,21,22
445,1445,76,80,32,16,16
446,1446,80,84,81,41,40
447,1447,95,59,24,13,11
448,1448,67,69,222,112,110
449,1449,65,72,125,63,62
450,1450,87,68,42,20,22
451,1451,86,64,67,32,35
452,1452,68,76,49,24,25
453,1453,62,105,105,53,52
454,1454,69,80,55,27,28
455,1455,73,75,28,14,14
456,1456,62,88,74,37,37
457,1457,81,57,114,57,57
458,1458,90,52,56,29,27
459,1459,80,63,57,30,27
460,1460,40,98,62,31,31
461,1461,28,44,93,46,47
462,1462,27,67,10,5,5
463,1463,55,104,304,152,152
464,1464,72,94,104,52,52
465,1465,59,57,116,58,58
466,1466,73,66,72,36,36
467,1467,30,84,124,63,61
468,1468,30,87,106,53,53
469,1469,37,59,652,325,327
470,1470,60,136,66,33,33
471,1471,59,127,142,70,72
472,1472,64,80,34,17,17
473,1473,62,79,123,61,62
474,1474,80,66,102,50,52
475,1475,77,47,67,34,33
476,1476,83,44,101,50,51
477,1477,44,79,71,36,35
478,1478,38,75,75,39,36
479,1479,60,72,142,71,71
480,1480,61,113,184,92,92
481,1481,80,98,319,158,161
482,1482,86,78,308,154,154
483,1483,46,108,120,60,60
484,1484,45,40,32,16,16
485,1485,45,59,261,131,130
486,1486,48,72,236,117,119
487,1487,27,119,169,84,85
488,1488,11,107,117,60,57
489,1489,40,39,210,106,104
490,1490,16,5,16,8,8
491,1491,25,62,96,48,48
492,1492,25,65,51,26,25
493,1493,67,96,253,125,128
494,1494,69,96,183,91,92
495,1495,82,82,73,36,37
496,1496,85,84,359,182,177
497,1497,73,80,55,27,28
498,1498,78,80,106,52,54
499,1499,79,60,62,31,31
500,1500,69,95,102,52,50
501,1501,83,42,22,11,11
502,1502,56,109,72,36,36
503,1503,54,105,151,76,75
504,1504,56,97,139,69,70
505,1505,76,85,110,55,55
506,1506,25,119,176,87,89
507,1507,28,127,166,83,83
508,1508,35,119,95,48,47
509,1509,81,93,71,35,36
510,1510,79,95,325,163,162
511,1511,71,90,54,27,27
512,1512,82,50,41,20,21
513,1513,68,63,53,27,26
514,1514,66,53,326,162,164
515,1515,64,104,114,57,57
516,1516,76,93,243,122,121
517,1517,71,84,204,102,102
518,1518,72,84,152,76,76
519,1519,77,85,61,31,30
520,1520,77,86,69,34,35
521,1521,48,76,194,96,98
522,1522,58,114,128,64,64
523,1523,59,103,183,90,93
524,1524,59,101,176,88,88
525,1525,46,79,189,96,93
526,1526,68,64,107,54,53
527,1527,69,64,54,27,27
528,1528,27,82,223,112,111
529,1529,49,80,300,150,150
530,1530,56,85,71,36,35
531,1531,76,79,79,41,38
532,1532,69,94,51,25,26
533,1533,68,95,169,84,85
534,1534,79,79,25,13,12
535,1535,87,72,136,67,69
536,1536,88,66,105,52,53
537,1537,69,115,330,165,165
538,1538,70,82,93,47,46
539,1539,84,57,158,80,78
540,1540,92,59,14,7,7
541,1541,26,70,84,42,42
542,1542,56,88,34,17,17
543,1543,53,89,27,14,13
544,1544,50,148,94,48,46
545,1545,68,116,80,40,40
546,1546,70,105,196,98,98
547,1547,74,107,96,48,48
548,1548,64,38,133,67,66
549,1549,53,105,153,75,78
550,1550,67,94,34,17,17
551,1551,80,80,100,52,48
552,1552,59,85,148,73,75
553,1553,72,103,205,101,104
554,1554,56,113,143,70,73
555,1555,82,85,45,22,23
556,1556,42,119,64,32,32
557,1557,31,72,63,32,31
558,1558,53,104,107,53,54
559,1559,53,103,110,55,55
560,1560,56,115,55,27,28
561,1561,81,59,101,51,50
562,1562,83,95,102,51,51
563,1563,53,69,104,52,52
564,1564,59,105,245,122,123
565,1565,48,105,201,100,101
566,1566,82,94,134,67,67
567,1567,53,72,234,119,115
568,1568,84,60,36,17,19
569,1569,98,37,10,5,5
570,1570,56,70,77,38,39
571,1571,54,66,115,56,59
572,1572,49,69,82,41,41
573,1573,45,63,89,45,44
574,1574,50,52,34,17,17
575,1575,54,64,120,61,59
576,1576,84,75,47,23,24
577,1577,62,69,138,69,69
578,1578,57,66,97,48,49
579,1579,40,52,212,107,105
580,1580,60,138,26,13,13
581,1581,64,129,36,18,18
582,1582,68,148,63,31,32
583,1583,54,123,128,64,64
584,1584,79,52,14,7,7
585,1585,46,134,54,27,27
586,1586,35,145,67,34,33
587,1587,77,58,28,14,14
588,1588,99,47,6,3,3
589,1589,92,48,86,44,42
590,1590,78,92,227,114,113
591,1591,68,137,78,40,38
592,1592,36,43,134,67,67
593,1593,64,97,46,23,23
594,1594,67,90,152,76,76
595,1595,50,142,68,34,34
596,1596,46,142,133,68,65
597,1597,80,93,48,24,24
598,1598,59,89,110,55,55
599,1599,74,37,31,15,16
600,1600,54,83,58,29,29
601,1601,53,73,192,96,96
602,1602,81,64,136,66,70
603,1603,78,64,183,90,93
604,1604,72,104,111,56,55
605,1605,30,101,114,58,56
606,1606,56,53,32,16,16
607,1607,79,78,33,16,17
608,1608,80,96,56,28,28
609,1609,54,68,107,54,53
610,1610,27,78,179,89,90
611,1611,81,87,157,79,78
612,1612,76,68,134,66,68
613,1613,78,69,19,10,9
614,1614,45,44,73,38,35
615,1615,40,47,303,149,154
616,1616,58,72,97,50,47
617,1617,79,88,131,65,66
618,1618,34,66,198,97,101
619,1619,91,63,17,8,9
620,1620,54,133,86,43,43
621,1621,82,87,142,71,71
622,1622,86,77,63,31,32
623,1623,58,104,162,83,79
624,1624,63,138,47,23,24
625,1625,48,134,54,27,27
626,1626,67,129,10,5,5
627,1627,30,80,100,51,49
628,1628,65,123,179,90,89
629,1629,90,66,36,18,18
630,1630,74,94,126,63,63
631,1631,86,67,134,65,69
632,1632,76,104,175,88,87
633,1633,83,59,89,45,44
634,1634,65,80,52,26,26
635,1635,66,82,44,22,22
636,1636,69,57,133,66,67
637,1637,73,52,101,50,51
638,1638,35,72,212,109,103
639,1639,29,123,231,116,115
640,1640,79,63,260,131,129
641,1641,83,63,132,67,65
642,1642,56,117,72,36,36
643,1643,76,101,234,117,117
644,1644,89,29,102,51,51
645,1645,78,37,52,26,26
646,1646,64,93,130,64,66
647,1647,64,95,100,51,49
648,1648,74,67,124,62,62
649,1649,90,69,106,53,53
650,1650,89,69,78,39,39
651,1651,46,98,143,72,71
652,1652,19,89,44,22,22
653,1653,35,88,138,69,69
654,1654,81,97,216,109,107
655,1655,63,66,189,95,94
656,1656,86,72,67,33,34
