638,456,1
844,787,2
926,1222,7
290,1024,5
1012,969,1
636,637,2
998,92,1
486,304,1
22,1148,3
525,939,2
102,20,1
856,760,2
536,498,1
471,289,1
139,317,1
284,4,1
1200,1166,1
749,1035,1
1120,893,1
920,276,1
731,526,9
1216,228,1
606,962,1
793,743,1
466,1117,1
636,465,1
786,546,1
161,125,1
117,675,1
1102,915,1
388,1298,2
640,99,1
584,431,1
13,251,4
215,147,2
3,785,5
583,1072,2
577,743,1
438,577,1
551,223,1
380,304,1
253,558,5
1070,239,1
1262,631,1
376,655,1
138,642,7
426,120,1
385,1031,1
1246,556,1
917,12,1
885,930,1
935,1017,1
628,685,1
340,901,1
315,861,1
319,12,1
121,174,1
414,931,1
286,1334,1
805,286,2
868,1258,6
139,590,1
1212,1005,1
560,675,1
115,820,1
913,164,3
564,218,1
1170,246,1
1130,929,2
763,1266,1
500,4,1
53,876,1
732,11,1
898,415,1
516,510,1
367,1196,1
1001,1234,1
648,329,1
245,9,1
973,1100,1
226,387,1
613,1157,1
10,26,1
657,221,10
164,657,2
537,413,6
413,302,1
765,623,2
163,255,2
239,360,1
1070,893,1
86,1257,2
594,252,1
609,1053,3
4,482,1
419,1183,3
905,354,1
579,469,17
325,577,1
436,53,1
380,103,1
714,883,1
332,502,1
466,992,1
458,1077,1
129,1162,1
1051,370,1
516,250,1
11,975,2
465,636,1
100,229,2
640,334,2
1169,799,2
750,395,2
167,725,1
24,701,9
1034,10,1
84,389,1
517,1036,1
464,152,1
33,721,3
418,1021,17
376,717,1
1336,1253,1
83,11,1
551,864,1
332,554,4
435,549,1
278,1086,1
565,500,1
677,678,8
959,1104,5
832,651,1
640,778,1
102,987,6
1081,141,9
208,618,11
1031,858,1
1071,1146,1
296,249,1
1281,630,1
155,702,6
1101,259,1
524,103,1
109,1151,1
175,415,2
950,819,1
71,366,1
812,548,1
16,74,2
592,703,1
708,709,1
64,24,3
143,864,2
1008,1287,1
1144,841,1
1313,648,1
11,529,2
226,1196,1
1173,154,2
61,533,1
354,353,3
274,1168,3
829,676,1
1000,538,1
762,761,1
413,1113,1
840,66,1
418,168,1
646,182,1
1083,237,2
164,928,1
412,1078,1
242,135,2
115,175,1
313,891,9
689,700,1
373,875,1
686,324,1
643,1089,1
105,153,1
47,762,2
1044,64,1
204,779,1
